_id,Recipe_id,Calories,cook_time,prep_time,servings,Recipe_title,total_time,Region,Sub_region,Continent,Source,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),Utensils,Processes,vegan,pescetarian,ovo_vegetarian,lacto_vegetarian,ovo_lacto_vegetarian
6405721fa13d0d2d35890d9a,2659,278.0,60,20,6,Moroccan Shabbat Fish,80,Northern Africa,Moroccan,African,AllRecipes,35.3808,3068.2712,547.0434,71.1227,oven||dish||dish||oven,preheat||arrange||combine||mix||sprinkle||cover||bake,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d9c,2661,521.0,54,30,4,"Moroccan Chicken Tagine with Preserved Lemons, Fennel, Olives, and Harissa",84,Northern Africa,Moroccan,African,AllRecipes,226.1946,10002.3667,249.3429,904.8643,bowl||plate||tablespoon||processor||dish,mix||pat||dry||place||sprinkle||heat||heat||add||cook||transfer||cook||stir||stir||sprinkle||scatter||cover||simmer||combine||blend||transfer||stir||simmer||garnish,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890da1,2666,229.0,45,15,6,Moroccan Tagine with Olives and Artichoke Hearts,60,Northern Africa,Moroccan,African,AllRecipes,270.9151,1667.1161,74.62,38.1243,skillet,heat||heat||cook||stir||stir||boil||simmer,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890da3,2668,908.0,60,30,4,B'stilla,90,Northern Africa,Moroccan,African,AllRecipes,25.6734,591.744,29.7517,43.125,oven||saucepan||bowl||cup||bowl||pan||oven,preheat||place||cover||poach||heat||cook||dice||whisk||mix||cut||roll||spread||sprinkle||cover||cover||sprinkle||cover||square||fold||brush||bake||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890da5,2670,286.0,30,10,4,Moroccan Chicken,45,Northern Africa,Moroccan,African,AllRecipes,188.2295,1778.3118,144.42,54.4294,saucepan||pan||pan||pan||pan,season||remove||set||saute||stir||stir||mix||simmer||add||cover||cook||stir||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890da7,2672,399.0,45,15,6,Moroccan Chicken and Whole Grain Couscous,60,Northern Africa,Moroccan,African,AllRecipes,249.0967,1598.1153,82.9588,37.7312,pot||pot||pot||pot,prepare||heat||heat||cook||mix||place||cook||boil||reduce||heat||simmer||mix||season||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890daf,2680,218.0,20,15,4,Moroccan Sweet Potato and Raisin Salad,65,Northern Africa,Moroccan,African,AllRecipes,131.5459,688.9797,16.6022,15.0921,bowl||saucepan,place||cover||place||cover||boil||add||heat||simmer||drain||stir||simmer||cool,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890db4,2685,8.0,10,10,8,Citrons Confits Express (Quick Preserved Lemons),1Day20,Northern Africa,Moroccan,African,AllRecipes,1.1741,3.68,0.115,0.0387,cup||tablespoon||container||microwave||jar,mix||cook||stirring||stand,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890db9,2690,198.0,45,15,8,Moroccan Potato Bean Soup,60,Northern Africa,Moroccan,African,AllRecipes,54.935,689.173,22.7954,47.282,pot||pan||pot,boil||reduce||heat||simmer||add||cook||add||boil||add||stirring||taste||garnish,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890dbe,2695,554.0,10,20,6,Moroccan Lamb Kabobs,30,Northern Africa,Moroccan,African,AllRecipes,154.4954,3933.0673,205.237,279.2862,bowl,preheat||mix||divide||press||place||cook,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890dc1,2698,460.0,0,0,4,Moroccan Meat Cigars,0,Northern Africa,Moroccan,African,AllRecipes,5.1488,329.0847,53.5208,10.9519,oven||sheet||skillet||skillet||sheet||oven,preheat||grease||heat||heat||cook||drain||add||reduce||heat||simmer||remove||spray||place||place||fold||fold||shape||arrange||bake,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890dc5,2702,567.0,35,25,6,Moroccan Peach Roasted Chicken,60,Northern Africa,Moroccan,African,AllRecipes,58.7352,5457.148,337.0201,424.4539,oven||cup||oven||oven||oven||pan,preheat||heat||place||pour||stir||place||cook||reduce||add||sprinkle||remove||pour||garnish,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890dc6,2703,292.0,43,20,4,Mushroom and Chickpea Tagine,63,Northern Africa,Moroccan,African,AllRecipes,239.6624,1705.2031,75.952,56.2835,skillet||pot||pot,toast||transfer||heat||heat||add||cover||cook||stirring||add||cover||cook||uncover||cook||stirring||stir||cover||simmer||add||cook||stirring||mix,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890dd5,2718,630.0,90,30,6,African Turkey Stew,120,Rest Africa,Nigerian,African,AllRecipes,75.9441,4182.8458,281.3741,312.4779,saucepan||oven,place||pour||cover||add||boil||heat||cook||evaporated||place||blend||heat||heat||pour||reduce||heat||simmer||fry||stir||simmer||blend||season,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890dd7,2720,138.0,40,20,12,African Cabbage Stew,60,Rest Africa,Nigerian,African,AllRecipes,48.9424,693.524,9.4602,55.487,pot||saucepan||saucepan||bowl||saucepan||saucepan,place||cover||boil||reduce||heat||simmer||drain||heat||heat||cook||stir||stir||place||cook||mix||smooth||pour||stir||cook||add||season||stir||cover||simmer,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890ddd,2726,531.0,120,30,6,Tomato Bredie,150,Rest Africa,Nigerian,African,AllRecipes,70.7574,1852.0346,326.3191,23.9094,saucepan||pot,heat||dredge||cook||stir||cook||mix||season||cover||heat||simmer||stir||stir||cook,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890dde,2727,440.0,15,75,8,Susie's Mocca Cheesecake,630,Rest Africa,Nigerian,African,AllRecipes,81.3572,1205.8658,48.4854,78.8267,pan||bowl||pan||bowl||bowl||pot||cup||bowl||cup||bowl||cup||spatula||whisk||spatula||bowl||bowl||pan||saucepan||pan||platter,grease||mix||press||refrigerate||sprinkle||set||beat||beat||pour||mix||whisk||fold||add||transfer||chill||set||combine||melt||heat||stirring||remove||cool||set||drizzle||chill||remove||transfer,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890de0,2729,266.0,90,30,6,Zimbabwean Chicken and Vegetable Soup,120,Rest Africa,Nigerian,African,AllRecipes,120.5977,1285.58,45.622,79.6538,pot||whisk||cup,heat||cook||stir||smooth||beat||boil||cook||simmer||stirring||stir||simmer||stirring||stir||simmer,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890de4,2733,343.0,0,0,6,Curry Beef Soup,0,Rest Africa,Nigerian,African,AllRecipes,192.4377,1822.531,68.6181,90.1042,saucepan,melt||cook||add||cook||add||simmer||remove,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890deb,2740,382.0,0,0,6,Beef Curry Soup,0,Rest Africa,Nigerian,African,AllRecipes,184.8345,1854.289,63.5289,98.4052,saucepan||pot,add||cook||add||simmer||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890df3,2748,403.0,10,15,6,South African Instant Milk Tart,25,Rest Africa,Nigerian,African,AllRecipes,124.1078,995.6568,35.4451,40.1018,bowl||dish||bowl||saucepan||saucepan,stir||press||beat||mix||heat||cook||heat||remove||heat||stir||sprinkle,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890df7,2752,767.0,100,15,4,Best Bobotie,115,Rest Africa,Nigerian,African,AllRecipes,104.9625,2168.3822,151.9307,127.639,oven||dish||skillet||skillet||dish||dish||oven||oven,preheat||grease||heat||heat||cook||break||cook||place||soak||squeeze||add||stir||bake||whisk||remove,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890dfb,2756,110.0,10,15,30,Ghorayebah (Butter Biscuits for Eid),45,Rest Africa,Nigerian,African,AllRecipes,43.0894,187.154,3.7636,8.1925,oven||oven,preheat||mix||stir||add||place||press||bake||cool||cool,0.0,0.0,0.0,1.0,0.0
6405721fa13d0d2d35890dff,2760,191.0,35,30,12,Tajin Sibnekh (Tunisian Chicken and Eggs),90,Rest Africa,Nigerian,African,AllRecipes,91.0516,2133.4392,114.7773,150.146,oven||dish||skillet||plate||bowl||dish||oven,preheat||grease||heat||heat||fry||remove||drain||stir||cook||add||stir||simmer||stir||remove||heat||set||beat||smooth||stir||stir||pour||bake||cool||cut,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e01,2762,282.0,50,25,6,Vegetable Tagine,75,Rest Africa,Nigerian,African,AllRecipes,345.1682,2167.7061,119.2058,45.2594,pot||pot,heat||heat||cook||stir||place||stir||season||boil||heat||cover||simmer||pour||season||stir||cook,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e08,2769,336.0,30,25,4,Tunisian Lamb with Saffron (Keleya Zaara),55,Rest Africa,Nigerian,African,AllRecipes,20.9355,2549.3582,118.0556,221.4436,skillet||cup||skillet||dish,heat||heat||add||cook||season||stir||pour||boil||cover||heat||simmer||uncover||stir||season||pour||sprinkle||garnish||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e0a,2771,397.0,90,15,4,Poulet Roti a l'Algerienne (Algerian Roast Chicken),105,Rest Africa,Nigerian,African,AllRecipes,25.8591,713.767,2.9444,68.0909,oven||dish||oven,preheat||mix||add||bake,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e14,2781,70.0,0,15,4,Dersa (Algerian Chile Paste),15,Rest Africa,Nigerian,African,AllRecipes,7.3831,276.6695,1.69,28.0171,,place||pour||mix,1.0,1.0,0.0,0.0,0.0
6405721fa13d0d2d35890e1a,2787,286.0,30,20,16,Namoora (Basboosa),110,Rest Africa,Nigerian,African,AllRecipes,575.8135,2669.1443,52.0228,20.1379,dish||pan||cup||bowl||dish||knife||oven||oven||saucepan||oven,butter||spread||mix||mix||smooth||spread||pat||smooth||cover||preheat||bake||place||boil||heat||stirring||stir||boil||stir||cool,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e1e,2791,229.0,360,0,6,Middle Eastern White Beans,360,Rest Africa,Nigerian,African,AllRecipes,45.0295,465.13,11.6624,29.0619,,mix||pour||cover||cover||cook,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e21,2794,178.0,10,20,4,Harissa Chicken,270,Rest Africa,Nigerian,African,AllRecipes,11.3031,62.16,3.0938,2.5571,bowl,place||smear||place||cover||refrigerate||preheat||heat||remove||marinade||brush||sprinkle,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e27,2800,320.0,10,25,4,Tunisian Grilled Salad (Selata Mishwiya),40,Rest Africa,Nigerian,African,AllRecipes,79.7817,824.49,15.8319,56.1716,oven||oven||sheet||bowl||spoon||platter,combine||preheat||place||cook||cool||peel||chop||place||stir||garnish||squeeze,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e2e,2807,428.0,40,25,5,Ethiopian Cabbage Dish,65,Rest Africa,Nigerian,African,AllRecipes,65.6971,1237.804,6.9007,109.6845,skillet,heat||heat||cook||stir||cook||add||cover||reduce||heat||cook,1.0,1.0,0.0,0.0,0.0
6405721fa13d0d2d35890e31,2810,280.0,5,15,12,Qumbe (East African Coconut Candy),45,Rest Africa,Nigerian,African,AllRecipes,297.6293,1874.4,8.076,82.192,bowl||saucepan||saucepan||cup||bowl,combine||place||heat||cook||stirring||heat||stir||cool||pour||roll||refrigerate,1.0,1.0,0.0,0.0,0.0
6405721fa13d0d2d35890e37,2816,210.0,0,0,12,Mombasa Pumpkin Dessert,0,Rest Africa,Nigerian,African,AllRecipes,414.5854,2106.22,5.7112,57.35,saucepan,steam||scoop||heat||add||stir||cook,1.0,1.0,0.0,0.0,0.0
6405721fa13d0d2d35890e41,2826,778.0,87,10,4,Doro Wat: Ethiopian Chicken Dish,97,Rest Africa,Nigerian,African,AllRecipes,113.9105,4044.3734,485.3923,182.8144,skillet,heat||heat||cook||stir||add||stir||stir||heat||cook||stir||add||simmer||stir||add||cook,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e44,2829,166.0,10,10,14,Injera,1Day20,Rest Africa,Nigerian,African,AllRecipes,271.854,1397.04,42.6759,15.3345,cup||skillet||pan||pan||pan||pan||plate,dissolve||add||stir||cover||stir||mix||heat||heat||cover||tilt||cover||cook||remove||remove||cool||stack,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e48,2833,546.0,59,25,6,Somali Spaghetti Sauce,89,Rest Africa,Nigerian,African,AllRecipes,65.8094,1302.0885,114.5715,68.8323,processor||pot||bowl||pot||pot||pot,place||toast||heat||cool||grind||transfer||add||heat||heat||add||cook||stir||stir||add||cook||stir||add||cook||stirring||stir||boil||reduce||heat||stir||simmer||stirring||combine||boil||cook||stirring||drain||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e54,2845,193.0,120,10,8,Ash-e-jow (Iranian_Persian Barley Soup),130,Middle Eastern,Rest Middle Eastern,Asian,AllRecipes,88.9846,827.2944,12.8084,51.2087,pot||pot||bowl||cup||pot,heat||simmer||heat||saute||add||stir||stir||boil||simmer||mix||add||place||add||stir||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e55,2846,234.0,55,20,16,Persian Sabzi Polo (Herb Rice with Fava Beans),75,Middle Eastern,Rest Middle Eastern,Asian,AllRecipes,176.3408,1380.469,78.599,45.465,saucepan||saucepan||pot,boil||rinse||stir||boil||drain||stir||mix||cook||reduce||heat||cover||simmer||note,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e5b,2852,0.0,5,10,20,Ginger Sekanjabin,135,Middle Eastern,Rest Middle Eastern,Asian,AllRecipes,937.0686,3837.55,45.3586,3.4145,saucepan||pan||sieve||container,boil||remove||heat||stir||cool||strain||stir,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e5e,2855,616.0,195,15,8,Duck Fesenjan,210,Middle Eastern,Rest Middle Eastern,Asian,AllRecipes,43.3777,1200.0078,70.6569,83.9422,skillet||plate||bowl||skillet||pan||spoon||tablespoon||oven||skillet||processor||skillet||dish,season||heat||heat||place||cook||cook||transfer||pour||boil||remove||heat||heat||heat||cook||stir||add||cook||stir||simmer||grind||cook||stir||stir||place||cover||reduce||heat||simmer||transfer||boil||cook||season||ladle,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e5f,2856,126.0,0,10,6,Mast-o-Khiar,10,Middle Eastern,Rest Middle Eastern,Asian,AllRecipes,94.3062,1640.501,21.9389,136.8071,bowl||dish,mix||stir||transfer,0.0,0.0,0.0,1.0,0.0
6405721fa13d0d2d35890e60,2857,62.0,0,15,4,Jarjeer (Arugula) Salad,15,Middle Eastern,Rest Middle Eastern,Asian,AllRecipes,38.7532,168.7691,5.4947,0.7729,,wash||dry||whisk||season||pour,1.0,1.0,0.0,0.0,0.0
6405721fa13d0d2d35890e70,2873,527.0,60,20,6,Khoresht Bademjoumn,150,Middle Eastern,Rest Middle Eastern,Asian,AllRecipes,101.6992,1248.0251,38.8956,82.3458,bowl||bowl||bowl||skillet||pan||skillet||pan||skillet||saucepan||saucepan||saucepan||saucepan||saucepan||dish||bowl,cover||toss||set||rinse||cut||toss||heat||heat||add||cook||remove||set||add||cook||stir||add||cover||cook||prepare||boil||add||boil||drain||heat||melt||cover||cook||remove||stand||transfer||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e76,2879,78.0,0,10,8,Persian Yogurt Salad,490,Middle Eastern,Rest Middle Eastern,Asian,AllRecipes,13.7589,128.7184,6.9951,5.6819,bowl,blend||toss||cover||refrigerate,0.0,0.0,0.0,1.0,0.0
6405721fa13d0d2d35890e79,2882,572.0,72,15,6,Persian Celery Sauce (Khoreshe Karafs),87,Middle Eastern,Rest Middle Eastern,Asian,AllRecipes,190.1149,1794.4337,76.0147,89.7906,skillet,melt||heat||add||cook||stir||add||cover||cook||heat||heat||add||cook||stir||stir||cook,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e7f,2888,634.0,25,25,6,General Tsao's Chicken II,50,Chinese and Mongolian,Chinese,Asian,AllRecipes,132.4668,4176.547,79.3766,369.5232,saucepan||bowl||cup||plate||skillet,heat||beat||add||sprinkle||mix||mix||remove||cool||fry||cook||drain||heat||heat||stir||zest||cook||stir||add||boil||cook||dissolve||stir||boil||cook||stir||reduce||heat||cook,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e80,2889,353.0,20,30,8,Dong'an Chicken,50,Chinese and Mongolian,Chinese,Asian,AllRecipes,13.7397,1064.46,1.1329,111.9502,pot||bowl||skillet||cup||bowl,boil||add||crush||add||add||boil||remove||cool||remove||cut||cut||set||peel||slice||combine||heat||heat||add||cook||stir||lard||wok||add||splash||pour||season||boil||reduce||heat||simmer||evaporated||whisk||stir||stir||add||stir||combine||remove||heat||stir,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e91,2906,519.0,10,30,4,Cantonese Chicken Chow Mein,55,Chinese and Mongolian,Chinese,Asian,AllRecipes,365.9297,2879.6388,47.0589,132.0137,bowl||bowl||skillet||skillet,whisk||smooth||add||stir||heat||heat||cook||stir||transfer||cook||stir||add||cook||stir,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e93,2908,477.0,15,25,3,China Sun Chicken,40,Chinese and Mongolian,Chinese,Asian,AllRecipes,143.265,1262.5716,111.1846,30.9525,skillet,heat||heat||cook||stir||cook||add||cook||whisk||stir||boil||stirring,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e97,2912,865.0,15,20,3,Joe's General Tso's Chicken,35,Chinese and Mongolian,Chinese,Asian,AllRecipes,115.4565,2798.008,68.3771,229.5336,saucepan||bowl||cup||plate||skillet||bowl,heat||beat||smooth||stir||mix||drain||heat||heat||stir||cook||add||cook||stir||pour||boil||garnish||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e9a,2915,409.0,15,25,3,Moo Goo Gai Pan,40,Chinese and Mongolian,Chinese,Asian,AllRecipes,49.5426,1171.2245,115.6433,58.9174,skillet||bowl,heat||smoke||stir||cook||stir||remove||set||wipe||heat||smoke||stir||cook||add||cook||stir||boil||stirring||boil,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e9c,2917,242.0,15,15,4,Orange-Chicken Rice Bowl,30,Chinese and Mongolian,Chinese,Asian,AllRecipes,17.5209,604.9176,92.7997,16.6621,skillet||tablespoon||skillet||tablespoon,heat||heat||place||add||cook||stir||stir||boil||stir||cook||stir,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890e9d,2918,172.0,15,15,6,Stir-Fried Chicken with Tofu and Mixed Vegetables,45,Chinese and Mongolian,Chinese,Asian,AllRecipes,27.612,218.784,5.8129,9.8086,bowl,mix||place||heat||cook||stir||toss||cook||stir||mix||cook||stir,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d6e,2615,934.0,30,30,8,Om Ali,60,Middle Eastern,Egyptian,African,AllRecipes,543.3028,4117.4667,46.5988,212.1542,oven||dish||oven||oven||oven||bowl||dish||saucepan||dish||oven,preheat||place||place||remove||preheat||break||stir||spread||boil||heat||beat||cream||spread||place||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d6f,2616,299.0,25,10,4,Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk),35,Middle Eastern,Egyptian,African,AllRecipes,81.2955,1043.9806,68.5817,52.6077,saucepan||skillet||bowl,heat||heat||add||simmer||heat||heat||cook||stirring||mix||whisk||smooth||blend||smooth||boil||reduce||heat||simmer||garnish,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d72,2619,498.0,60,20,8,Koshary,80,Middle Eastern,Egyptian,African,AllRecipes,244.3117,1814.1703,87.4819,58.2962,container||pot||pot||saucepan||pot||pot||platter,combine||store||boil||cook||drain||set||combine||cover||drain||cover||boil||cook||boil||drain||heat||heat||cook||stir||add||heat||simmer||melt||heat||add||fry||stirring||boil||season||heat||cover||cook||mix||spread||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d77,2624,189.0,0,10,4,Dukka,10,Middle Eastern,Egyptian,African,AllRecipes,14.9691,1493.0635,6.7678,160.7903,,grind||add||mix,1.0,1.0,0.0,0.0,0.0
6405721fa13d0d2d35890d7a,2627,231.0,10,20,4,Kofta,30,Middle Eastern,Egyptian,African,AllRecipes,19.6895,1032.754,93.0839,62.671,bowl||pan,mix||pick||press||place||separate||prepare||heat||heat||heat||place||cook||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d82,2635,90.0,35,20,24,Egyptian Meatballs,55,Middle Eastern,Egyptian,African,AllRecipes,156.3066,1922.3923,120.9629,92.2091,pot||knife||processor||bowl||skillet,boil||add||cook||drain||transfer||cool||chop||combine||season||mix||heat||heat||cook||add||boil||simmer,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d87,2640,332.0,60,20,8,Jollof Rice,80,Rest Africa,Nigerian,African,AllRecipes,237.934,1191.1535,30.4991,17.4933,saucepan,cook||stir||season||cover||boil||reduce||heat||stir||add||simmer||stir||season||boil||cover||simmer,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d88,2641,348.0,15,5,4,Peri Peri African Chicken,200,Rest Africa,Nigerian,African,AllRecipes,43.1977,192.442,7.5372,6.4955,bowl||dish,stir||rub||preheat||heat||place||cook,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d8d,2646,85.0,20,15,14,Shuku Shuku,35,Rest Africa,Nigerian,African,AllRecipes,14.0149,447.42,10.7526,40.3274,oven||bowl||sheet||oven,preheat||mix||roll||coat||place||bake,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d8f,2648,59.0,0,15,16,Malian Ginger Juice,15,Rest Africa,Nigerian,African,AllRecipes,226.9469,895.5181,2.7818,1.1415,,place||cover||blend||strain||squeeze||dry||stir||pour||stir||combine,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d91,2650,157.0,25,10,12,West African Lime Cake,35,Rest Africa,Nigerian,African,AllRecipes,214.2833,1154.7421,20.0447,29.0112,oven||dish||dish||oven,preheat||grease||beat||beat||stir||pour||bake||garnish,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d97,2656,380.0,300,30,8,Chicken Tagine,330,Northern Africa,Moroccan,African,AllRecipes,248.3609,17343.0723,401.1311,1638.6127,skillet||skillet||cooker||bowl||saucepan||fork,heat||heat||place||stir||cook||remove||heat||place||whisk||cook||boil||stir||remove||heat||cover,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d99,2658,261.0,60,15,10,Moroccan Harira (Bean Soup),75,Northern Africa,Moroccan,African,AllRecipes,511.5621,3402.8343,178.1407,82.5335,pot||skillet,stir||boil||simmer||heat||heat||cook||stir||add||stir||boil||stir||cook||simmer||drizzle,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d9d,2662,74.0,20,15,6,Moroccan Spicy Carrot Salad,65,Northern Africa,Moroccan,African,AllRecipes,46.7739,444.8824,5.0543,28.5408,pan||pan,combine||boil||cook||stir||remove||heat||set||cool||garnish||serve,0.0,0.0,0.0,0.0,0.0
6405721fa13d0d2d35890d9e,2663,250.0,180,20,6,Moroccan Spiced Sea Bass Ceviche,200,Northern Africa,Moroccan,African,AllRecipes,36.3731,1205.6547,186.2531,35.015,bowl,whisk||add||stir||blend||press||cover||refrigerate||season||add,0.0,1.0,0.0,0.0,0.0
6405721fa13d0d2d35890d9f,2664,131.0,540,50,8,Slow Cooker Root Vegetable Tagine,590,Northern Africa,Moroccan,African,AllRecipes,560.1433,2356.3663,52.4855,14.3646,,season||pour||cover||cook,0.0,0.0,0.0,0.0,0.0
